,State,Center,Award,"Senate Commerce, Science, and Transportation",Senate Aviation and Space Subcommittee,Senate CJS,SenateCommittess,NatLog_Award,Log10_Award
0,AL,1.0,10865586.782999998,0.0,0.0,2.0,2.0,16.20111117693318,7.036053184843177
1,AK,0.0,117819.668,1.0,0.0,1.0,2.0,11.676910497213958,5.071217794618179
2,AZ,0.0,1539749.5649999985,1.0,1.0,0.0,2.0,14.247130341035854,6.187450090068266
3,AR,0.0,12519.142,0.0,0.0,1.0,1.0,9.43501411195434,4.09757456550108
4,CA,3.0,48821939.84299997,0.0,0.0,1.0,1.0,17.703690356736168,7.688615031254328
5,CO,0.0,19510377.36100005,1.0,1.0,0.0,2.0,16.78645705433946,7.290265669405543
6,CT,0.0,138831.6129999999,1.0,0.0,1.0,2.0,11.841017060487609,5.142488369492032
7,DE,0.0,43526.43700000001,0.0,0.0,1.0,1.0,10.68112377959972,4.638753118005763
8,DC,1.0,736319.5009999998,0.0,0.0,0.0,0.0,13.509419408134427,5.8670663026694765
9,FL,1.0,8395190.473999986,1.0,0.0,1.0,2.0,15.943169537217923,6.924030554061765
10,GA,0.0,96537.87300000004,0.0,0.0,0.0,0.0,11.477690676653559,4.984697725863041
11,HI,0.0,144307.048,1.0,1.0,1.0,3.0,11.879698586258039,5.159287542685728
12,ID,0.0,21961.549000000006,0.0,0.0,0.0,0.0,9.997048430476445,4.341662968675485
13,IL,0.0,126412.05700000006,1.0,1.0,1.0,3.0,11.747302143804008,5.101788498304321
14,IN,0.0,2522000.3850000007,1.0,0.0,0.0,1.0,14.740562948163612,6.401745148534986
15,IA,0.0,48235.65300000001,0.0,0.0,0.0,0.0,10.783853715400443,4.683368162250293
16,KS,0.0,61431.24300000001,1.0,1.0,1.0,3.0,11.025673828366413,4.788389302924634
17,KY,0.0,29466.429,0.0,0.0,1.0,1.0,10.291006894314238,4.469327507428995
18,LA,0.0,43514.108,0.0,0.0,1.0,1.0,10.680840486334898,4.63863008530409
19,ME,0.0,26598.467,0.0,0.0,1.0,1.0,10.18860886153008,4.424856606833086
20,MD,2.0,21342958.683,0.0,0.0,1.0,1.0,16.876232439166643,7.329254623646729
21,MA,0.0,1814553.4129999997,1.0,0.0,0.0,1.0,14.411349941961447,6.258769756570605
22,MI,0.0,267558.38499999995,3.0,1.0,0.0,4.0,12.497093083184826,5.427418565858466
23,MN,0.0,57631.47000000001,1.0,0.0,0.0,1.0,10.961824051653553,4.760659697227484
24,MS,1.0,3655516.5740000005,1.0,1.0,2.0,4.0,15.111747974695108,6.562948757322727
25,MO,0.0,178990.325,0.0,0.0,0.0,0.0,12.095087033082793,5.2528295566074314
26,MT,0.0,49956.93300000003,1.0,1.0,2.0,4.0,10.818916573243836,4.698595767931437
27,NE,0.0,13737.846000000001,1.0,0.0,0.0,1.0,9.527909784927914,4.137918643666191
28,NV,0.0,155117.05599999998,1.0,1.0,0.0,2.0,11.951935310881353,5.1906595535803985
29,NH,0.0,162986.41200000007,0.0,0.0,1.0,1.0,12.001422114350907,5.212151399254257
30,NJ,0.0,101437.07700000002,0.0,0.0,0.0,0.0,11.5271939541928,5.006196726134458
31,NM,0.0,194660.38500000004,1.0,1.0,1.0,3.0,12.179011703785989,5.289277577989376
32,NY,0.0,694174.3550000002,0.0,0.0,0.0,0.0,13.450478439923943,5.841468565417628
33,NC,0.0,63146.68699999997,0.0,0.0,0.0,0.0,11.053215664011304,4.800350570166698
34,ND,0.0,13708.191,0.0,0.0,1.0,1.0,9.525748816366937,4.136980146944593
35,OH,1.0,1108011.3680000012,0.0,0.0,0.0,0.0,13.918077406164532,6.044544216199581
36,OK,0.0,235953.852,0.0,0.0,1.0,1.0,12.371391522513964,5.372827071692484
37,OR,0.0,66339.43200000004,0.0,0.0,1.0,1.0,11.102539750510818,4.821771748758354
38,PA,0.0,283739.2349999998,0.0,0.0,0.0,0.0,12.55581090873208,5.452919393482997
39,RI,0.0,26363.376000000004,0.0,0.0,1.0,1.0,10.17973105325345,4.421001023687151
40,SC,0.0,38335.323,0.0,0.0,1.0,1.0,10.55412702167812,4.583599126820809
41,SD,0.0,21419.43899999999,1.0,1.0,0.0,2.0,9.972054153182572,4.3308080919675955
42,TN,0.0,49570.75699999998,1.0,1.0,1.0,3.0,10.81115636223148,4.695225551110366
43,TX,1.0,27489432.712000035,1.0,2.0,0.0,3.0,17.129312223769897,7.439165777581186
44,UT,0.0,4095960.3819999984,1.0,1.0,0.0,2.0,15.225511773291421,6.612355747293459
45,VT,0.0,9577.578000000001,0.0,0.0,1.0,1.0,9.167180020629347,3.9812556975730637
46,VA,1.0,7934596.338000008,0.0,0.0,0.0,0.0,15.886743039571165,6.8995248375006515
47,WA,0.0,351361.976,1.0,0.0,1.0,2.0,12.769572241709001,5.545754760839157
48,WV,0.0,495628.6279999999,1.0,1.0,2.0,4.0,13.1135821913949,5.695156383707557
49,WI,0.0,92292.336,2.0,0.0,1.0,3.0,11.432716383457333,4.965165638500421
50,WY,0.0,10360.466,0.0,0.0,0.0,0.0,9.245752495496854,4.015379289837504
