Zip,District,State,Center_Abbreviation,Center_Name
32815,8,FL,KSC,Kennedy Space Flight Center
93524,23,CA,AFRC,Armstrong Flight Research Center
23666,3,VA,LaRC,Langley Research Center
44135,16,OH,GRC,Glenn Research Center
20771,5,MD,GSFC,Goddard Space Flight Center
77058,36,TX,JSC,Johnson Space Flight Center
35824,5,AL,MSFC,Marshall Space Flight Center
94035,18,CA,ARC,Ames Research Center
39556,4,MS,SSC,Stennis Space Center/NASA Shared Services Center
20546,1,DC,HQ,Headquarters Acquisition Division
91109,27,CA,NMO,NASA Mgmt Office at JPL
20723,3,MD,APL,NASA Management Office at APL
