District,State,Name,"House Science, Space and Technology Committee",House Space and Aeronautics Subcommittee,House CJS
7,CA,Ami Bera,1,1,0
5,AZ,Andy Biggs,1,0,0
16,OH,Anthony Ganzalez,1,0,0
4,UT,Ben McAdams,1,0,0
11,IL,Bill Foster,1,0,0
8,FL,Bill Posey,1,1,0
30,CA,Brad Sherman,1,0,0
14,MI,Brenda Lawrence,0,0,1
36,TX,Brian Babin,1,1,0
13,FL,Charlie Crist,1,1,1
17,PA,Conor Lamb,1,0,0
3,IL,Dan Lipinski,1,0,0
8,VA,Don Beyer,1,1,0
1,HI,Ed Case,0,0,1
7,CO,Ed Perlmutter,1,1,0
30,TX,Eddie Bernice Johnson,2,0,0
19,FL,Francis Rooney,1,0,0
3,OK,Frank Lucas,1,0,0
6,NY,Grace Meng,0,0,1
3,NC,Gregory F. Murphy,1,0,0
11,MI,Haley Stevens,1,0,0
4,AL,House Aderholt,0,0,1
3,WA,Jaime Herrera Beutler,1,0,0
10,VA,Jennifer Wexton,1,1,0
9,CA,Jerry McNerney,1,0,0
4,IN,Jim Baird,1,0,0
15,NY,José Serrano,0,0,2
5,OK,Kendra Horn,1,2,0
7,TX,Lizzie Fletcher,1,0,0
9,OH,Marcy Kaptur,0,0,1
2,AL,Martha Roby,0,0,1
8,PA,Matt Cartwright,0,0,1
27,TX,Michael Cloud,1,0,0
6,FL,Michael Waltz,1,1,0
11,NJ,Mike Sherrill,1,0,0
5,AL,Mo Brooks,1,1,0
20,NY,Paul Tonko,1,0,0
22,TX,Pete Olson,1,1,0
5,SC,Ralph Norman,1,0,0
14,TX,Randy Weber,1,0,0
1,KS,Roger Marshall,1,0,0
6,IL ,Sean Casten,1,0,0
9,TN,Steve Cohen,1,0,0
4,MI,Steven Palazzo,0,0,1
1,OR,Suzanne Bonamici,1,0,0
14,GA,Tom Graves,0,0,1
12,OH,Troy Balderson,1,0,0
19,CA,Zoe Lofgren,1,1,0
