State,Name,"Senate Commerce, Science, and Transportation",Senate Aviation and Space Subcommittee,Senate CJS
AK,"Dan Sullivan, Lisa Murkowski",1,0,1
AL,Richard Shelby,0,0,2
AR,John Boozman,0,0,1
AZ,Kyrsten Sinema,1,1,0
CA,Dianne Feinstein,0,0,1
CO,Cory Gardner,1,1,0
CT,"Chris Murphy, Richard Blumenthal",1,0,1
DE,Christopher Coons,0,0,1
FL,"Marco Rubio, Rick Scott",1,0,1
HI,Biran Schatz,1,1,1
IL,"Richard Durbin, Tammy Duckworth",1,1,1
IN,Todd Young,1,0,0
KS,Jerry Moran,1,1,1
KY,Mitch McConnell,0,0,1
LA,John Kennedy,0,0,1
MA,Ed Markey,1,0,0
MD,Chris Van Hollen,0,0,1
ME,Susan Collins,0,0,1
MI,"Gary Peters, Roger Wicker",3,1,0
MN,Amy Klobuchar,1,0,0
MS,"Cindy Hyde-Smith, Roy Blunt",1,1,2
MT,"Jon Tester, Steve Daines",1,1,2
ND,John Hoeven,0,0,1
NE,Deb Fischer,1,0,0
NH,Jeanne Shaheen,0,0,1
NM,Tom Udall,1,1,1
NV,Jacky Rosen,1,1,0
OK,James Lankford,0,0,1
OR,Jeff Merkley,0,0,1
RI,Jack Reed,0,0,1
SC,Lindsey Graham,0,0,1
SD,John Thune,1,1,0
TN,"Lamar Alexander, Marsha Blackburn",1,1,1
TX,Ted Cruz,1,2,0
UT,Mike Lee,1,1,0
VT,Patrick Leahy,0,0,1
WA,"Maria Cantwell, Patty Murray",1,0,1
WI,"Ron Johnson, Tammy Baldwin",2,0,1
WV,"Joe Manchin, Shelley Moore Capito",1,1,2
